mjd,mag,magerr,filter,wavelength
55646.37889,18.14,0.12,C,6178.184964660442
55684.24674,18.3,0.13,C,6178.184964660442
55684.25533,18.16,0.12,C,6178.184964660442
55684.26391,18.22,0.12,C,6178.184964660442
55684.27258,18.09,0.12,C,6178.184964660442
55725.19184,18.14,0.14,C,6178.184964660442
55725.19785,18.29,0.14,C,6178.184964660442
55725.20387,17.91,0.12,C,6178.184964660442
55725.20992,18.16,0.14,C,6178.184964660442
55727.3073191735,17.77114052051766,0.025223030331505226,z,8961.488333992429
55727.318871452,17.655560531602607,0.014147502423692877,z,8961.488333992429
55862.49303,18.35,0.16,C,6178.184964660442
55862.49754,18.19,0.14,C,6178.184964660442
55862.5021,18.19,0.14,C,6178.184964660442
55862.50672,17.97,0.13,C,6178.184964660442
55881.46975,18.2,0.12,C,6178.184964660442
55881.47486,18.18,0.12,C,6178.184964660442
55881.48009,17.97,0.11,C,6178.184964660442
55881.48526,18.28,0.12,C,6178.184964660442
55924.439,18.15,0.12,C,6178.184964660442
55924.44666,18.39,0.13,C,6178.184964660442
55924.45429,18.24,0.12,C,6178.184964660442
55924.462,18.33,0.13,C,6178.184964660442
55952.37941,18.13,0.12,C,6178.184964660442
55952.38854,18.23,0.12,C,6178.184964660442
55952.39768,18.27,0.12,C,6178.184964660442
55952.40687,18.13,0.12,C,6178.184964660442
55958.6639186881,17.881824833719374,0.01896860662215409,z,8961.488333992429
55958.6755812593,17.697283912519595,0.046197397762796806,z,8961.488333992429
55959.27195,18.1,0.11,C,6178.184964660442
55959.27779,18.14,0.12,C,6178.184964660442
55959.28354,17.99,0.11,C,6178.184964660442
55959.28932,18.06,0.11,C,6178.184964660442
55976.26444,18.1,0.12,C,6178.184964660442
55976.27288,18.2,0.12,C,6178.184964660442
55976.28135,18.27,0.12,C,6178.184964660442
55976.2898,18.17,0.12,C,6178.184964660442
55982.41587,18.21,0.12,C,6178.184964660442
55982.42035,18.19,0.12,C,6178.184964660442
55982.42489,18.37,0.13,C,6178.184964660442
55982.42944,18.32,0.12,C,6178.184964660442
55988.28478,18.41,0.13,C,6178.184964660442
55988.29176,18.2,0.12,C,6178.184964660442
55988.29865,18.34,0.13,C,6178.184964660442
55988.30554,18.33,0.13,C,6178.184964660442
56011.23415,18.14,0.12,C,6178.184964660442
56011.23984,18.22,0.12,C,6178.184964660442
56011.24543,18.23,0.12,C,6178.184964660442
56011.25108,18.22,0.12,C,6178.184964660442
56018.30655,18.16,0.12,C,6178.184964660442
56018.31502,18.3,0.12,C,6178.184964660442
56018.32362,18.17,0.12,C,6178.184964660442
56018.33226,18.35,0.13,C,6178.184964660442
56027.2534353166,18.407364457100865,0.009736265203160241,r,6185.194476741525
56027.265030744,18.540103259529978,0.010358675094270456,r,6185.194476741525
56027.2776574203,19.142936510574927,0.013741057557719424,g,4718.872246248685
56027.2899707082,19.146244040358418,0.014371635883481306,g,4718.872246248685
56063.23437,18.2,0.12,C,6178.184964660442
